,0
1334,{α}
1335,{α}
1336,{α}
1337,"{α, δ}"
1338,"{α, η}"
1339,{α}
1340,"{α, η}"
1341,"{α, η}"
1342,"{α, γ}"
1343,{α}
1344,{α}
1345,{α}
1346,{α}
1347,{α}
1348,{α}
1349,"{α, ε}"
1350,{other}
1351,{α}
1352,{α}
1353,"{α, γ}"
1354,"{α, η}"
1355,{α}
1356,"{α, β}"
1357,{α}
1358,{α}
1359,{α}
1360,"{α, η}"
1361,{α}
1362,{}
1363,"{α, γ}"
1364,{α}
1365,{other}
1366,"{α, δ}"
1367,{α}
1368,{α}
1369,{α}
1370,"{α, δ}"
1371,{α}
1372,{α}
1373,{α}
1374,{α}
1375,{α}
1376,{α}
1377,{other}
1378,{}
1379,{α}
1380,{α}
1381,{α}
1382,{α}
1383,{α}
1384,"{α, η}"
1385,{other}
1386,{α}
1387,{α}
1388,{α}
1389,{other}
1390,{α}
1391,{α}
1392,{α}
1393,"{α, ψ}"
1394,"{α, δ}"
1395,{α}
1396,{α}
1397,{}
1398,{α}
1399,{α}
1400,{}
1401,{α}
1402,{α}
1403,{α}
1404,{}
1405,{α}
1406,{α}
1407,{α}
1408,{α}
1409,{other}
1410,{α}
1411,{other}
1412,{α}
1413,{α}
1414,{α}
1415,{other}
1416,{α}
1417,{}
1418,{α}
1419,"{α, γ}"
1420,{α}
1421,{α}
1422,{α}
1423,{α}
1424,"{α, β}"
1425,{α}
1426,{α}
1427,{α}
1428,{}
1429,{}
1430,"{α, β}"
1431,{α}
1432,{α}
1433,{α}
1434,{}
1435,{α}
1436,{α}
1437,"{α, γ}"
1438,{}
1439,{α}
1440,{α}
1441,"{α, γ}"
1442,"{α, γ}"
1443,{α}
1444,{α}
1445,{α}
1446,{α}
1447,{α}
1448,{α}
1449,"{α, η}"
1450,{α}
1451,{other}
1452,"{α, μ}"
1453,{α}
1454,"{α, η}"
1455,{}
1456,{α}
1457,{α}
1458,{α}
1459,"{α, δ}"
1460,{}
1461,{α}
1462,"{α, β}"
1463,{α}
1464,{other}
1465,"{α, γ}"
1466,{α}
1467,{α}
1468,{α}
1469,{α}
1470,"{α, η}"
1471,{α}
1472,{α}
1473,{α}
1474,"{α, η}"
1475,{α}
1476,"{α, η}"
1477,{α}
1478,{α}
1479,"{α, η}"
1480,{α}
1481,{α}
1482,"{α, λ}"
1483,"{α, η}"
1484,{α}
1485,"{α, γ}"
1486,"{α, δ}"
1487,{}
1488,{α}
1489,{α}
1490,{α}
1491,{α}
1492,"{α, ε, η}"
1493,{α}
1494,"{α, β}"
1495,{α}
1496,{α}
1497,{other}
1498,{α}
1499,{α}
1500,{α}
1501,{α}
1502,{α}
1503,{α}
1504,{α}
1505,{α}
1506,"{α, η}"
1507,{α}
1508,{α}
1509,{other}
1510,{α}
1511,{α}
1512,{}
1513,"{α, θ}"
1514,{α}
1515,"{α, μ}"
1516,{α}
1517,{α}
1518,{α}
1519,{α}
1520,{α}
1521,{other}
1522,{α}
1523,{other}
1524,{α}
1525,{α}
1526,{α}
1527,{α}
1528,"{α, γ}"
1529,{}
1530,{α}
1531,"{α, η}"
1532,{α}
1533,{α}
1534,{α}
1535,{α}
1536,"{α, η}"
1537,{α}
1538,{α}
1539,{α}
1540,{other}
1541,"{α, δ}"
1542,{}
1543,{α}
1544,"{α, β}"
1545,{other}
1546,{α}
1547,{α}
1548,{α}
1549,{α}
1550,{α}
1551,{α}
1552,{α}
1553,{α}
1554,{α}
1555,{α}
1556,{α}
1557,{other}
1558,{α}
1559,"{α, θ}"
1560,{other}
1561,{α}
1562,{α}
1563,{α}
1564,"{α, η}"
1565,"{α, η}"
1566,{α}
1567,{α}
1568,{α}
1569,{α}
1570,{other}
1571,{α}
1572,{α}
1573,"{α, η}"
1574,{other}
1575,"{α, θ}"
1576,{α}
1577,{α}
1578,{}
1579,{α}
1580,{α}
1581,{α}
1582,{α}
1583,"{α, η}"
1584,{α}
1585,{α}
1586,{α}
1587,{α}
1588,{α}
1589,{α}
1590,{α}
1591,"{α, δ}"
1592,{α}
1593,{α}
1594,{}
1595,"{α, δ}"
1596,{α}
1597,{α}
1598,"{α, η}"
1599,"{α, β}"
1600,"{α, γ}"
1601,{α}
1602,{α}
1603,{α}
1604,{α}
1605,{α}
1606,{α}
1607,{other}
1608,"{α, γ}"
1609,{α}
1610,{α}
1611,"{α, γ}"
1612,{α}
1613,"{α, η}"
1614,"{α, γ}"
1615,"{α, η}"
1616,{α}
1617,"{α, η}"
1618,{α}
1619,{α}
1620,{α}
1621,{α}
1622,{α}
1623,{α}
1624,{α}
1625,{α}
1626,{α}
1627,"{α, γ}"
1628,"{α, γ}"
1629,{other}
1630,{α}
1631,{α}
1632,{}
1633,{other}
1634,{other}
1635,{α}
1636,{α}
1637,{α}
1638,"{α, β}"
1639,{α}
1640,{α}
1641,{α}
1642,{}
1643,{}
1644,{α}
1645,{α}
1646,{α}
1647,{α}
1648,{α}
1649,{α}
1650,{α}
1651,{}
1652,"{α, η}"
1653,{α}
1654,{}
1655,{α}
1656,"{α, γ}"
1657,{α}
1658,{α}
1659,{α}
1660,{}
1661,{α}
1662,"{α, β}"
1663,{other}
1664,{}
1665,{α}
1666,{α}
1667,{α}
1668,{α}
1669,"{α, γ}"
1670,"{α, ε}"
1671,{α}
1672,{α}
1673,{α}
1674,{other}
1675,{α}
1676,{other}
1677,"{α, δ}"
1678,{α}
1679,"{α, γ}"
1680,{α}
1681,{α}
1682,{α}
1683,{α}
1684,{α}
1685,{α}
1686,{α}
1687,{α}
1688,"{α, β}"
1689,{α}
1690,{}
1691,{α}
1692,{α}
1693,{α}
1694,{α}
1695,{α}
1696,{other}
1697,{α}
1698,{α}
1699,{α}
1700,{α}
1701,{α}
1702,{α}
1703,"{α, γ}"
1704,"{α, γ}"
1705,{}
1706,{α}
1707,{α}
1708,{α}
1709,{α}
1710,{α}
1711,{α}
1712,{α}
1713,{α}
1714,{α}
1715,{α}
1716,{α}
1717,{α}
1718,{α}
1719,"{α, θ}"
1720,{other}
1721,{α}
1722,"{α, ε}"
1723,{α}
1724,{}
1725,{α}
1726,{}
1727,{α}
1728,{α}
1729,{α}
1730,{α}
1731,"{α, η}"
1732,{α}
1733,{α}
1734,"{α, γ}"
1735,{}
1736,{α}
1737,{α}
1738,"{α, η}"
1739,{}
1740,{α}
1741,"{α, δ}"
1742,{α}
1743,"{α, β}"
1744,{α}
1745,"{α, γ}"
1746,"{α, γ}"
1747,{}
1748,{α}
1749,{α}
1750,{α}
1751,"{α, η}"
1752,{other}
1753,{α}
1754,"{α, γ}"
1755,{α}
1756,{α}
1757,{α}
1758,"{α, β}"
1759,{α}
1760,{}
1761,{α}
1762,{α}
1763,{α}
1764,{α}
1765,"{α, β}"
1766,{α}
1767,{α}
1768,{α}
1769,{}
1770,{α}
1771,"{α, η}"
1772,"{α, β}"
1773,{α}
1774,{α}
1775,{α}
1776,{α}
1777,{α}
1778,{other}
1779,{α}
1780,"{α, η}"
1781,"{α, η}"
1782,{α}
1783,{other}
1784,{α}
1785,{α}
1786,{α}
1787,{α}
1788,{}
1789,{α}
1790,{α}
1791,{}
1792,{α}
1793,{α}
1794,{α}
1795,{α}
1796,"{α, γ}"
1797,{α}
1798,"{α, γ}"
1799,{α}
1800,{α}
1801,"{α, β}"
1802,{α}
1803,{α}
1804,{α}
1805,{α}
1806,{α}
1807,"{α, η}"
1808,{α}
1809,{α}
1810,{α}
1811,{other}
1812,{α}
1813,"{α, γ}"
1814,{α}
1815,{α}
1816,{α}
1817,{α}
1818,{α}
1819,{α}
1820,{α}
1821,{α}
1822,{α}
1823,"{α, η}"
1824,{other}
1825,{}
1826,{}
1827,{other}
1828,"{α, η}"
1829,{α}
1830,{α}
1831,{other}
1832,{other}
1833,{α}
1834,{α}
1835,{α}
1836,{other}
1837,{α}
1838,{α}
1839,{α}
1840,{α}
1841,{α}
1842,{}
1843,{other}
1844,{α}
1845,{other}
1846,{α}
1847,"{α, β}"
1848,{α}
1849,{α}
1850,"{α, η}"
1851,{other}
1852,"{α, γ}"
1853,{α}
1854,"{α, ε}"
1855,"{α, δ}"
1856,"{α, η}"
1857,{α}
1858,{α}
1859,{α}
1860,{α}
1861,{α}
1862,"{α, γ}"
1863,"{α, γ}"
1864,{α}
1865,{α}
1866,{α}
1867,{α}
1868,{α}
1869,{α}
1870,"{α, η}"
1871,{}
1872,{α}
1873,{α}
1874,{α}
1875,"{α, β}"
1876,"{α, η}"
1877,{α}
1878,{α}
1879,"{α, η}"
1880,{α}
1881,{α}
1882,"{α, η}"
1883,{α}
1884,"{α, γ}"
1885,{α}
1886,{α}
1887,{other}
1888,{α}
1889,{α}
1890,{other}
1891,{α}
1892,{α}
1893,"{α, η}"
1894,{α}
1895,{α}
1896,{α}
1897,{α}
1898,"{α, η}"
1899,{α}
1900,"{α, η}"
1901,{α}
1902,{α}
1903,{α}
1904,{other}
1905,"{α, δ}"
1906,{α}
1907,{α}
1908,{α}
1909,{α}
1910,{α}
1911,"{α, δ}"
1912,{α}
